brandname,details,sizes,mrp,sellprice,discount,category
Cover Story,printed polyester round neck womens dress - black,"Size:Medium,Small,X-Large,X-Small",4490.0,3143,30% ,Westernwear-Women
Life,printed collar neck polyester womens regular top - navy,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499,50% ,Westernwear-Women
Zink London,lace polyester round neck womens dress - green,"Size:Large,Medium,Small,X-Large",3299.0,1979,40% ,Westernwear-Women
Stop,solid viscose v-neck womens regular top - mustard,"Size:Large,Medium,Small,XX-Large",999.0,499,50% ,Westernwear-Women
Fratini,printed v-neck polyester womens regular dress - natural,"Size:Large,Medium,Small,X-Large,XX-Large",1899.0,949,50% ,Westernwear-Women
Rare,floral polyester off shoulder womens flared dress - black,"Size:Large,Medium,Small,X-Large",1899.0,854,55% ,Westernwear-Women
Life,printed viscose wide neck womens regular dress - pink,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649,50% ,Westernwear-Women
Altlife,printed skinny fit cotton blend womens active wear track pants - grey,"Size:28,30,32,34,36",999.0,499,50% ,Westernwear-Women
Stop,printed regular neck cotton womens formal shirt - blue denim,"Size:Medium,Small,X-Small,XX-Large",899.0,449,50% ,Westernwear-Women
Life,regular fit regular length denim womens jeans - olive,"Size:26,28,30,32,34,36",1999.0,999,50% ,Westernwear-Women
Rare,solid polyester round neck womens a-line dress - navy,"Size:Large,Medium,Small,X-Large",1499.0,674,55% ,Westernwear-Women
Zink London,solid polyester v neck womens top - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1399.0,839,40% ,Westernwear-Women
Life,printed cotton blend collar neck womens t-shirt - red,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499,50% ,Westernwear-Women
Madame,printed polyester blend square neck womens dress - green,"Size:Large,Medium,Small,X-Large,XX-Large",2699.0,1619,40% ,Westernwear-Women
Zink London,solid polyester scoop neck womens bodycon dress - baby pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2499.0,1499,40% ,Westernwear-Women
Rare,floral polyester v neck womens flared dress - blue,"Size:Large,Medium,Small,X-Large",2099.0,944,55% ,Westernwear-Women
Fratini,solid round neck viscose womens regular dress - black,"Size:Large,Medium,Small,X-Large,XX-Large",1499.0,749,50% ,Westernwear-Women
Iti,solid georgette collar neck womens top - olive,"Size:Small,X-Small",1499.0,399,73% ,Westernwear-Women
Rare,solid comfort fit polyester womens casual wear trousers - black,"Size:Large,Medium,Small,X-Large",1599.0,719,55% ,Westernwear-Women
Levis,graphic cotton round neck womens t-shirt - brown,"Size:Large,Medium,Small,X-Small",0.0,1199,Nan,Westernwear-Women
Cover Story,regular fit polyester womens casual trousers - pink,"Size:26,28,30,32,34",2590.0,1813,30% ,Westernwear-Women
Zink London,printed v neck polyester womens a-line dress - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2299.0,1149,50% ,Westernwear-Women
And,polka dots boat neck viscose womens regular dresses - pink,"Size:8,10,12,14,16,18",2899.0,2319,20% ,Westernwear-Women
Van Heusen,solid cotton v neck womens formal shirt - green,"Size:Large,Medium,Small",1999.0,799,60% ,Westernwear-Women
Life,printed cotton lycra round neck womens t-shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349,50% ,Westernwear-Women
Life,solid cotton blend round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Large",899.0,449,50% ,Westernwear-Women
Faballey,printed georgette round neck womens regular dress - pink,"Size:Large,Medium,Small,X-Large,X-Small",2800.0,2240,20% ,Westernwear-Women
Levis,tapered fit regular length cotton womens jeans - dk indigo,"Size:26,28,30,32,34",0.0,3799,Nan,Westernwear-Women
Rare,floral polyester v neck womens flared dress - natural,"Size:Large,Medium,Small",2099.0,944,55% ,Westernwear-Women
Rare,solid polyester round neck womens a-line dress - red,"Size:Large,Medium,Small,X-Large",1999.0,799,60% ,Westernwear-Women
Rare,solid georgette round neck womens top - maroon,"Size:Large,Small,X-Large",1399.0,559,60% ,Westernwear-Women
Stop,printed viscose regular neck womens top - white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",999.0,499,50% ,Westernwear-Women
Fratini,printed viscose collar neck womens a-line dress - black,"Size:Large,Medium,Small,X-Large,XX-Large",1599.0,799,50% ,Westernwear-Women
Life,solid cotton lycra round neck womens t-shirt - off white,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349,50% ,Westernwear-Women
Life,printed jersey round neck womens t-shirt - lilac,"Size:Large,Medium,Small,X-Large,X-Small",599.0,299,50% ,Westernwear-Women
Only,checks cotton womens top - white,"Size:34,36,38,40,42",1999.0,1399,30% ,Westernwear-Women
Life,regular fit regular length cotton lycra womens jeans - white,"Size:26,28,30,32,34,36",1299.0,649,50% ,Westernwear-Women
Van Heusen,solid polyester collar neck womens top - black,"Size:Small,X-Small",1699.0,999,41% ,Westernwear-Women
Fratini,solid polyester round neck womens a-line dress - aubergine,"Size:Large,Medium,Small,X-Large,XX-Large",1599.0,799,50% ,Westernwear-Women
Life,printed cotton lycra round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349,50% ,Westernwear-Women
Fratini,solid round neck viscose womens regular dress - tan,"Size:Large,Medium,Small,X-Large,XX-Large",1499.0,749,50% ,Westernwear-Women
Kraus,super skinny fit ankle length cotton blend womens jeans - blue,"Size:28,30,32,34,36,38",1995.0,1396,30% ,Westernwear-Women
Life,checks cotton blend collar neck womens regular top - sage,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649,50% ,Westernwear-Women
Life,embroidered cotton blend round neck womens top - blue,"Size:Large,Medium,Small,X-Large,X-Small",1299.0,649,50% ,Westernwear-Women
Rare,solid polyester blend boat neck womens flared dress - black,"Size:Large,Medium,Small,X-Large",1699.0,764,55% ,Westernwear-Women
And,solid polyester square neck womens flared dress - sage,"Size:10,12,14,16,18",2699.0,2159,20% ,Westernwear-Women
Life,solid cotton blend round neck womens t-shirt - natural,"Size:Large,Medium,X-Large,X-Small",899.0,449,50% ,Westernwear-Women
Kraus,wide leg fit ankle length cotton womens jeans - blue,"Size:28,30,32",1695.0,1525,10% ,Westernwear-Women
Life,printed jersey round neck womens t-shirt - red,"Size:Large,Medium,Small,X-Small",699.0,349,50% ,Westernwear-Women
Fratini,sanya malhotra regular fit regular length cotton linen womens culottes - olive,"Size:26,28,30,32,34,36",0.0,1299,Nan,Westernwear-Women
Fratini,solid square neck polyester womens woven top - natural,"Size:Large,Medium,X-Large,XX-Large",999.0,499,50% ,Westernwear-Women
Fratini,solid v-neck tencel womens a-line dress - light blue,"Size:Large,Small",1699.0,849,50% ,Westernwear-Women
Zink London,printed cotton round neck womens t-shirt - brown,Size:X-Large,1299.0,399,69% ,Westernwear-Women
Life,regular fit regular length cotton lycra womens jeans - mid stone,"Size:26,28,30,32",999.0,499,50% ,Westernwear-Women
Zink London,textured polyester round neck womens straight top - natural,"Size:Large,Small,X-Small",1399.0,839,40% ,Westernwear-Women
Allen Solly,printed stylized polyester womens fit and flare dress - grey,"Size:Large,Medium,Small,X-Large",2499.0,1499,40% ,Westernwear-Women
Stop,solid polyester regular neck womens top - sage,"Size:Large,Medium,Small,X-Large,XX-Large",1299.0,649,50% ,Westernwear-Women
Only,lace cotton collar neck womens top - red,"Size:34,36,38,40,42",2499.0,1499,40% ,Westernwear-Women
Fratini,regular fit regular length cotton blend womens jeans - white,"Size:28,30,32,34,36",1299.0,649,50% ,Westernwear-Women
Fratini,printed square neck polyester womens regular dress - pink,"Size:Large,Medium,Small,X-Large,XX-Large",1699.0,849,50% ,Westernwear-Women
Van Heusen,solid polyester v neck womens shirt - white,"Size:Large,Medium,Small,X-Large,X-Small",1699.0,999,41% ,Westernwear-Women
Only,self design viscose square neck womens top - white,"Size:34,36,38,40,42",2299.0,1379,40% ,Westernwear-Women
Life,printed blended round neck womens shift dress - navy,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,749,50% ,Westernwear-Women
Zink London,solid collar neck polyester womens casual shirt - green,"Size:Medium,Small,XX-Large",1699.0,849,50% ,Westernwear-Women
Life,printed cotton lycra round neck womens t-shirt - sage,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349,50% ,Westernwear-Women
Faballey,embroidered cotton square neck womens regular dress - white,"Size:Large,Medium,Small,X-Large,X-Small",2600.0,2080,20% ,Westernwear-Women
Life,printed cotton blend round neck womens t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499,50% ,Westernwear-Women
Infuse,floral rayon v neck womens strappy dress - pista green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1499.0,749,50% ,Westernwear-Women
Kraus,baggy fit ankle length cotton womens jeans - light blue,"Size:28,30,32,34",1595.0,1116,30% ,Westernwear-Women
Life,printed cotton lycra round neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349,50% ,Westernwear-Women
Fratini,solid polyester blend round neck womens a-line dress - pink,"Size:Large,Medium,Small,X-Large,XX-Large",1899.0,949,50% ,Westernwear-Women
Madame,solid polyester v neck womens top - blush,"Size:Large,Medium,Small,X-Large,XX-Large",1699.0,1189,30% ,Westernwear-Women
Kraus,super skinny fit ankle length cotton blend womens jeans - dark blue,"Size:28,30,32,34,36,38",1895.0,947,50% ,Westernwear-Women
Kraus,skinny fit full length cotton blend womens jeans - navy,"Size:28,30,32,36",1895.0,947,50% ,Westernwear-Women
Stop,printed regular neck cotton womens formal shirt - white,"Size:Large,Medium,Small,X-Large,XX-Large",899.0,449,50% ,Westernwear-Women
Life,regular fit regular length denim womens jeans - pink,"Size:26,28,30,32,34,36",1999.0,999,50% ,Westernwear-Women
Zink London,printed cotton collar neck womens dress - blue,"Size:Large,Medium,Small,X-Small,XX-Large",2899.0,1739,40% ,Westernwear-Women
Life,skinny fit regular length cotton lycra womens jeans - black,"Size:26,28,30,32,34,36",999.0,499,50% ,Westernwear-Women
Stop,solid regular neck cotton blend womens formal shirt - powder blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",899.0,449,50% ,Westernwear-Women
Altlife,solid polyester blend ankle length womens tights - misty lilac,"Size:28,30,32,34,36",1299.0,649,50% ,Westernwear-Women
Life,solid cotton wide neck womens a-line dress - powder blue,"Size:Large,Medium,Small,X-Large,X-Small",1699.0,849,50% ,Westernwear-Women
Allen Solly,printed v-neck viscose womens fit and flare dress - black,"Size:Large,Medium,Small,X-Large,X-Small",2499.0,1499,40% ,Westernwear-Women
Stop,solid regular fit polyester womens formal pants - black,"Size:28,30,34,36",1699.0,849,50% ,Westernwear-Women
And,solid polyester v neck womens regular dress - wine,"Size:8,18",2899.0,2319,20% ,Westernwear-Women
Rare,floral polyester off shoulder womens regular top - blue,"Size:Large,Small",999.0,499,50% ,Westernwear-Women
Zink London,stripes cotton round neck womens straight top - multi,"Size:Large,Medium,Small,X-Large,X-Small",1399.0,699,50% ,Westernwear-Women
Life,fit above knee denim womens casual skirt - black,"Size:26,28,30,32,34,36",1299.0,649,50% ,Westernwear-Women
Fratini,printed polyester round neck womens a-line dress - yellow,"Size:Error Size,Large,Medium,Small,X-Large,XX-Large",1999.0,999,50% ,Westernwear-Women
Rare,floral polyester round neck womens flared dress - black,"Size:Large,Medium,Small,X-Large",1999.0,899,55% ,Westernwear-Women
Latin Quarters,solid polyester womens regular blouse - wine,"Size:S,M,L,XL",1899.0,949,50% ,Westernwear-Women
Fratini,printed polyester blend round neck womens regular top - yellow,"Size:Medium,Small",999.0,499,50% ,Westernwear-Women
Zink London,embroidered viscose mandarin womens top - blue,"Size:Large,Medium,Small,X-Small,XX-Large",2199.0,1319,40% ,Westernwear-Women
Stop,solid regular neck cotton stretch womens formal shirt - bottle green,"Size:Large,Small,X-Large,XX-Large",999.0,499,50% ,Westernwear-Women
Rare,half sleeves regular fit womens casual dress - navy,"Size:Large,Medium,Small,X-Large",1999.0,899,55% ,Westernwear-Women
Latin Quarters,printed polyester womens regular dress - red,"Size:S,M,L,XL,XX-Large",2799.0,1959,30% ,Westernwear-Women
Zink London,solid polyester round neck womens top - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1499.0,899,40% ,Westernwear-Women
Stop,solid collar neck cotton blend womens regular top - peach,"Size:Large,X-Large,XX-Large",999.0,499,50% ,Westernwear-Women
Cover Story,solid viscose collar neck womens top - peach,"Size:Small,X-Small",2290.0,1603,30% ,Westernwear-Women
Stop,printed regular neck cotton womens formal shirt - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",799.0,399,50% ,Westernwear-Women
Zink London,printed cotton round neck womens t-shirt - green,"Size:Large,Medium,Small,X-Large,X-Small",799.0,479,40% ,Westernwear-Women
Zink London,floral rayon collar neck womens casual shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1599.0,799,50% ,Westernwear-Women
Rare,floral georgette round neck womens flared dress - grey,"Size:Large,Medium,Small",1899.0,854,55% ,Westernwear-Women
Van Heusen,super slim fit regular cotton womens jeans - navy,"Size:28,32,34",2199.0,999,55% ,Westernwear-Women
Rare,solid polyester blend round neck womens a-line dress - black,"Size:Small,X-Large",1699.0,764,55% ,Westernwear-Women
Life,striped cotton blend collar neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",799.0,399,50% ,Westernwear-Women
Van Heusen,textured polyester blend regular fit womens trousers - maroon,"Size:26,34",2199.0,999,55% ,Westernwear-Women
Madame,solid cotton round neck womens regular top - off white,"Size:Large,Medium,Small,X-Large",1199.0,599,50% ,Westernwear-Women
Fratini,printed viscose blend round neck womens t-shirt - natural,"Size:Large,Medium,Small,X-Large,XX-Large",0.0,799,Nan,Westernwear-Women
Life,regular fit regular length cotton lycra womens jeans - black,"Size:26,28,30,32,34,36",1299.0,649,50% ,Westernwear-Women
Van Heusen,solid polyester collar neck womens formal shirt - off white,Size:X-Small,1699.0,999,41% ,Westernwear-Women
Rare,floral polyester round neck womens regular top - multi,"Size:Large,Medium,Small,X-Large",1299.0,584,55% ,Westernwear-Women
Life,solid polyester blend round neck womens t-shirt - black,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499,50% ,Westernwear-Women
Only,stripes polyester round neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",1799.0,1079,40% ,Westernwear-Women
Infuse,graphic cotton round neck womens regular fit t-shirt - yellow,"Size:Large,Medium,Small,X-Large,X-Small",499.0,199,60% ,Westernwear-Women
And,solid boat neck polyester womens straight dresses - multi,"Size:6,8,10,12,14,16",2499.0,1999,20% ,Westernwear-Women
Rare,stripes polyester round neck womens regular top - navy,"Size:Large,Medium,Small,X-Large",1199.0,539,55% ,Westernwear-Women
Life,solid polyester blend round neck womens t-shirt - dusty pink,"Size:Large,Medium,Small,X-Large,X-Small",999.0,499,50% ,Westernwear-Women
Van Heusen,solid polyester blend regular fit womens trousers - pink,Size:26,1499.0,799,47% ,Westernwear-Women
Zink London,solid polyester round neck womens top - white,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1599.0,959,40% ,Westernwear-Women
Fratini,printed v-neck viscose womens woven top - pink,"Size:Small,XX-Large",999.0,499,50% ,Westernwear-Women
Life,regular fit regular length denim womens jeans - charcoal,"Size:26,28,30,32,34,36",1999.0,999,50% ,Westernwear-Women
Fratini,solid square neck polyester womens woven top - olive,"Size:Large,Medium,X-Large,XX-Large",999.0,499,50% ,Westernwear-Women
Kraus,wide leg fit ankle length cotton womens jeans - dark blue,"Size:28,30,32,34,36",1795.0,1256,30% ,Westernwear-Women
Madame,solid cotton round neck womens regular top - mauve,"Size:Large,Medium,X-Large",1499.0,899,40% ,Westernwear-Women
Life,printed viscose collar neck womens shirt - white,"Size:Large,Medium,Small,X-Large,X-Small",899.0,449,50% ,Westernwear-Women
Stop,solid nr roma regular neck womens regular dress - olive,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",0.0,1999,Nan,Westernwear-Women
Life,printed jersey round neck womens t-shirt - off white,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349,50% ,Westernwear-Women
Life,regular fit regular length cotton blend womens joggers - blue,"Size:26,28,30,32,34,36",1299.0,649,50% ,Westernwear-Women
Kraus,baggy fit ankle length cotton womens jeans - blue,"Size:28,30,32,34",1695.0,847,50% ,Westernwear-Women
Zink London,printed polyester boat neck womens top - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1799.0,1079,40% ,Westernwear-Women
Latin Quarters,printed polyester womens regular dress - red,"Size:S,M,L,XL,XX-Large",0.0,2699,Nan,Westernwear-Women
Life,embroidered viscose blend round neck womens t-shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small",899.0,449,50% ,Westernwear-Women
Fratini,solid cotton blend round neck womens t-shirt - yellow,"Size:Large,Medium,Small,X-Large,XX-Large",0.0,699,Nan,Westernwear-Women
Fratini,printed viscose collar neck womens a-line dress - yellow,"Size:Large,Medium,Small,X-Large,XX-Large",1599.0,799,50% ,Westernwear-Women
Faballey,floral georgette round neck womens dress - blue,"Size:Small,X-Small",2400.0,1920,20% ,Westernwear-Women
Rare,solid polyester choker neck womens regular top - black,"Size:Large,Medium,Small,X-Large",1299.0,584,55% ,Westernwear-Women
Stop,solid regular neck cotton stretch womens formal shirt - white,"Size:Large,X-Large,X-Small,XX-Large",0.0,999,Nan,Westernwear-Women
Rare,floral polyester round neck womens regular top - multi,"Size:Large,Medium,Small,X-Large",1399.0,559,60% ,Westernwear-Women
Life,regular fit regular length cotton lycra womens jeans - black,"Size:26,28,30,32,34",999.0,499,50% ,Westernwear-Women
Zink London,solid cotton round neck womens top - lavender,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",1899.0,1139,40% ,Westernwear-Women
Zink London,checks round neck cotton womens a-line dress - multi,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2799.0,1399,50% ,Westernwear-Women
Stop,solid regular neck cotton blend womens formal shirt - pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",899.0,449,50% ,Westernwear-Women
Only,solid viscose womens cropped top - pink,"Size:Large,Medium,Small,X-Large,X-Small",1799.0,1079,40% ,Westernwear-Women
Life,printed viscose wide neck womens a-line dress - sage,"Size:Large,Medium,Small,X-Large,X-Small",1499.0,749,50% ,Westernwear-Women
Life,embroidered blended round neck womens top - natural,"Size:Large,Medium,Small,X-Large,X-Small",1199.0,599,50% ,Westernwear-Women
Latin Quarters,printed v neck polyester womens regular fit dresses - peach,"Size:S,M,L,XL",2699.0,1889,30% ,Westernwear-Women
Rare,solid polyester mandarin womens regular top - green,"Size:Medium,Small",1299.0,519,60% ,Westernwear-Women
Latin Quarters,dyed rayon blend womens casual wear shrug - peach,"Size:S,M,L,XL,XX-Large",1399.0,699,50% ,Westernwear-Women
Life,solid denim collar neck womens denim jacket - mid stone,"Size:Large,Medium,Small,X-Large,X-Small",1899.0,949,50% ,Westernwear-Women
Rare,solid crepe tie up neck�womens regular top - grey,"Size:Large,Medium",1399.0,559,60% ,Westernwear-Women
Zink London,floral polyester round neck womens short dress - blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2199.0,1319,40% ,Westernwear-Women
Rare,solid crepe round neck womens regular top - maroon,Size:Small,1099.0,549,50% ,Westernwear-Women
Allen Solly,printed round neck rayon womens fit and flare dress - red,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2499.0,1499,40% ,Westernwear-Women
Life,regular fit regular length cotton lycra womens jeans - dk indigo,"Size:26,28,30,32,36",999.0,499,50% ,Westernwear-Women
Rare,solid crepe round neck womens regular top - maroon,"Size:Large,Medium,Small,X-Large",999.0,499,50% ,Westernwear-Women
Latin Quarters,printed polyester womens regular dress - yellow,"Size:S,M,L,XL",0.0,2799,Nan,Westernwear-Women
Rare,floral crepe round neck womens flared dress - cream,"Size:Large,Small,X-Large",1599.0,719,55% ,Westernwear-Women
Life,womens viscose collar checks shirts - orange,"Size:Small,X-Small",899.0,449,50% ,Westernwear-Women
Rare,solid modal round neck womens regular top - mustard,Size:X-Large,1499.0,599,60% ,Westernwear-Women
Van Heusen,textured polyester round neck womens jacket - navy,"Size:Large,Medium,Small,X-Large,X-Small",3499.0,1499,57% ,Westernwear-Women
Life,printed jersey round neck womens t-shirt - blue,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349,50% ,Westernwear-Women
Rare,solid polyester boat neck womens regular top - maroon,"Size:Large,Medium,Small,X-Large",1499.0,599,60% ,Westernwear-Women
Life,solid viscose blend round neck womens t-shirt - orange,"Size:Large,Medium,Small,X-Large,X-Small",699.0,349,50% ,Westernwear-Women
Stop,printed regular neck chambray womens formal shirt - blue,"Size:Large,Medium,Small,X-Large,XX-Large",899.0,449,50% ,Westernwear-Women
Madame,solid georgette square neck womens regular top - mint,"Size:Large,Medium,Small,X-Large,XX-Large",1699.0,849,50% ,Westernwear-Women
Rare,floral georgette round neck womens flared dress - black,"Size:Large,Medium,Small,X-Large",1899.0,854,55% ,Westernwear-Women
Rare,solid polyester blend sweetheart neck womens bodycon dress - green,"Size:Large,Medium,X-Large",2399.0,1079,55% ,Westernwear-Women
And,floral polyester v neck womens straight top - powder blue,"Size:8,10,12,14,16,18",0.0,2099,Nan,Westernwear-Women
Zink London,textured polyester boat neck womens dress - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2699.0,1619,40% ,Westernwear-Women
Latin Quarters,solid polyester womens regular dress - purple,"Size:S,M,L,XL",2399.0,1199,50% ,Westernwear-Women
Zink London,solid regular fit cotton womens trousers - grey,"Size:Small,X-Large",1899.0,1139,40% ,Westernwear-Women
Sera,womens regular fit solid tie up neck peplum top - red,"Size:Large,Small,X-Large",1198.0,359,70% ,Westernwear-Women
Rare,solid comfort fit polyester womens casual wear trousers - brown,"Size:Large,Medium,Small,X-Large",1899.0,854,55% ,Westernwear-Women
Life,printed round neck polyester womens regular top - black,"Size:Large,Medium,Small,X-Large,X-Small",1199.0,599,50% ,Westernwear-Women
Madame,floral print polyster womens dress - royal blue,"Size:Large,Medium,Small,X-Large,XX-Large",2699.0,1619,40% ,Westernwear-Women
Fratini,sanya malhotra  stripes v neck viscose moss womens dress - natural,"Size:Large,Medium,Small,X-Large,XX-Large",0.0,1899,Nan,Westernwear-Women
And,solid cotton collar neck womens top - rose,"Size:8,10,12,14,18",1799.0,899,50% ,Westernwear-Women
Fratini,printed viscose v-neck womens regular top - black,"Size:Large,Medium,Small,XX-Large",899.0,449,50% ,Westernwear-Women
Adidas,striped regular fit blended womens sports tights - black,Size:X-Small,1799.0,899,50% ,Westernwear-Women
Rare,checks cold shoulder polyester womens calf length jumpsuits - black,"Size:Large,Medium,Small,X-Large",2099.0,839,60% ,Westernwear-Women
Zink London,floral viscose v neck womens dress - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",2799.0,1679,40% ,Westernwear-Women
